uuid,coordinate,region,world,feature,description
gDhlZths,BASE,Fearless Wilds,The Lands of Vo'il,Watchtower,"> The Lands of Vo'il > Fearless Wilds > Hex BASE Ropes tangle down the branches here. On some, straw-made figures of humanoids are hanging down by their canvas covered heads. There’s an old abandoned watchtower next to a clearing. Random encounter There's a 1 in 6 chance when exploring (or 2 in 6 chance if camping overnight) to be ambushed or preyed upon by: 1d4 Encounter Stats 1 Wolves (4) CR: 1/4 (50 XP) AC: 13 (natural armor) HP: (2d8 + 2) Speed: Walk 40 ft. STR DEX CON INT WIS CHA 12 +1 15 +3 12 +1 3 -4 12 +1 6 -2 Keen Hearing and Smell: The wolf has advantage on Wisdom ( Perception ) checks that rely on hearing or smell. Pack Tactics: The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 feet of the creature and the ally isn't incapacitated . Actions Bite: +4 to hit, reach 5 ft., one target. Inflicts 7 ( 2d4 + 2 ) piercing damage. If the target is a creature, it must succeed on a DC11 Strength saving throw or be knocked prone . 2 Hobgoblins (2) CR: 1/2 (100 XP) AC: 18 (chain mail,shield) HP: (2d8 + 2) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 13 +2 12 +1 12 +1 10 10 9 -1 Senses: darkvision 60 ft. Alignment: Lawful Evil Languages: Common, Goblin Martial Advantage: Once per turn, the hobgoblin can deal an extra 7 ( 2d6 ) damage to a creature it hits with a weapon attack if that creature is within 5 feet of an ally of the hobgoblin that isn't incapacitated . Actions Longsword: +3 to hit, reach 5 ft., one target. Inflicts 5 ( 1d8 + 1 ) slashing damage, or 6 ( 1d10 + 1 ) slashing damage if used with two hands. Longbow: +3 to hit, range 150/600 ft., one target. Inflicts 5 ( 1d8 + 1 ) piercing damage. 3 Bandits (4) CR: 1/8 (25 XP) AC: 12 (leather armor) HP: (2d8 + 2) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 11 +1 12 +1 12 +1 10 10 10 Alignment: Neutral Languages: any one language (usually Common) Actions Scimitar: +3 to hit, reach 5 ft., one target. Inflicts 4 ( 1d6 + 1 ) slashing damage. Light Crossbow: +3 to hit, range 80/320 ft., one target. Inflicts 5 ( 1d8 + 1 ) piercing damage. 4 Giant Weasel CR: 1/8 (25 XP) AC: 13 HP: (2d8) Speed: Walk 40 ft. STR DEX CON INT WIS CHA 11 +1 16 +3 10 4 -3 12 +1 5 -3 Senses: darkvision 60 ft. Keen Hearing and Smell: The weasel has advantage on Wisdom ( Perception ) checks that rely on hearing or smell. Actions Bite: +5 to hit, reach 5 ft., one target. Inflicts 5 ( 1d4 + 3 ) piercing damage. Regional Weather 2d6 Dry Season Wet Season † 2 Thunderstorms Thunderstorms 3-4 Stormy Stormy 5-9 Rainy Rainy 10-11 Cloudy Foggy 12 Clear Cloudy † There's a 1-in-6 chance once a week for a flood"
ennrZ6sg,S1,Fearless Wilds,The Lands of Vo'il,Watchtower,"> The Lands of Vo'il > Fearless Wilds > Hex S1 A small pond sits between the jungle trees here. At night, countless mysterious forms glow an eerie purple light deep in the water. There’s an old abandoned watchtower where the jungle meets a tall mountain. Random encounter There's a 1 in 6 chance when exploring (or 2 in 6 chance if camping overnight) to be ambushed or preyed upon by: 1d4 Encounter Stats 1 Dire Wolves (3) CR: 1 (200 XP) AC: 14 (natural armor) HP: (5d10 + 10) Speed: Walk 50 ft. STR DEX CON INT WIS CHA 17 +4 15 +3 15 +3 3 -4 12 +1 7 -2 Keen Hearing and Smell: The wolf has advantage on Wisdom ( Perception ) checks that rely on hearing or smell. Pack Tactics: The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 feet of the creature and the ally isn't incapacitated . Actions Bite: +5 to hit, reach 5 ft., one target. Inflicts 10 ( 2d6 + 3 ) piercing damage. If the target is a creature, it must succeed on a DC13 Strength saving throw or be knocked prone . 2 Goblins (8) CR: 1/4 (50 XP) AC: 15 (leather armor,shield) HP: (2d6) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 8 -1 14 +2 10 10 8 -1 8 -1 Senses: darkvision 60 ft. Alignment: Neutral Evil Languages: Common, Goblin Nimble Escape: The goblin can take the Disengage or Hide action as a bonus action on each of its turns. Actions Scimitar: +4 to hit, reach 5 ft., one target. Inflicts 5 ( 1d6 + 2 ) slashing damage. Shortbow: +4 to hit, range 80/320 ft., one target. Inflicts 5 ( 1d6 + 2 ) piercing damage. 3 Satyr CR: 1/2 (100 XP) AC: 14 (leather armor) HP: (7d8) Speed: Walk 40 ft. STR DEX CON INT WIS CHA 12 +1 16 +3 11 +1 12 +1 10 14 +2 Alignment: Chaotic Neutral Languages: Common, Elvish, Sylvan Magic Resistance: The satyr has advantage on saving throws against spells and other magical effects. Actions Ram: +3 to hit, reach 5 ft., one target. Inflicts 6 ( 2d4 + 1 ) bludgeoning damage. Shortsword: +5 to hit, reach 5 ft., one target. Inflicts 6 ( 1d6 + 3 ) piercing damage. Shortbow: +5 to hit, range 80/320 ft., one target. Inflicts 6 ( 1d6 + 3 ) piercing damage. 4 Giant Rats (4) CR: 1/8 (25 XP) AC: 12 HP: (2d6) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 7 -2 15 +3 11 +1 2 -4 10 4 -3 Senses: darkvision 60 ft. Keen Smell: The rat has advantage on Wisdom ( Perception ) checks that rely on smell. Pack Tactics: The rat has advantage on an attack roll against a creature if at least one of the rat's allies is within 5 feet of the creature and the ally isn't incapacitated . Actions Bite: +4 to hit, reach 5 ft., one target. Inflicts 4 ( 1d4 + 2 ) piercing damage. Regional Weather 2d6 Dry Season Wet Season † 2 Thunderstorms Thunderstorms 3-4 Stormy Stormy 5-9 Rainy Rainy 10-11 Cloudy Foggy 12 Clear Cloudy † There's a 1-in-6 chance once a week for a flood"
dlM1Up6m,N1,Fearless Wilds,The Lands of Vo'il,Watchtower,"> The Lands of Vo'il > Fearless Wilds > Hex N1 A huge, lush tree is standing in a clearing here, covered with colourful flowers and holding a sweet berry inside. Birds fly cheerfully around it. The ruins of an ancient watchtower are where the jungle meets a tall mountain. Random encounter There's a 1 in 6 chance when exploring (or 2 in 6 chance if camping overnight) to be ambushed or preyed upon by: 1d4 Encounter Stats 1 Blink Dogs (5) CR: 1/4 (50 XP) AC: 13 HP: (4d8 + 4) Speed: Walk 40 ft. STR DEX CON INT WIS CHA 12 +1 17 +4 12 +1 10 13 +2 11 +1 Alignment: Lawful Good Languages: Blink Dog, understands Sylvan but can't speak it Keen Hearing and Smell: The dog has advantage on Wisdom ( Perception ) checks that rely on hearing or smell. Actions Bite: +3 to hit, reach 5 ft., one target. Inflicts 4 ( 1d6 + 1 ) piercing damage. Teleport : The dog magically teleports, along with any equipment it is wearing or carrying, up to 40 feet to an unoccupied space it can see. Before or after teleporting, the dog can make one bite attack. 2 Panthers (3) CR: 1/4 (50 XP) AC: 12 HP: (3d8) Speed: Walk 50 ft. Climb 40 ft. STR DEX CON INT WIS CHA 14 +2 15 +3 10 3 -4 14 +2 7 -2 Keen Smell: The panther has advantage on Wisdom ( Perception ) checks that rely on smell. Pounce: If the panther moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC12 Strength saving throw or be knocked prone . If the target is prone , the panther can make one bite attack against it as a bonus action. Actions Bite: +4 to hit, reach 5 ft., one target. Inflicts 5 ( 1d6 + 2 ) piercing damage. Claw: +4 to hit, reach 5 ft., one target. Inflicts 4 ( 1d4 + 2 ) slashing damage. 3 Boars (7) CR: 1/4 (50 XP) AC: 11 (natural armor) HP: (2d8 + 2) Speed: Walk 40 ft. STR DEX CON INT WIS CHA 13 +2 11 +1 12 +1 2 -4 9 -1 5 -3 Charge: If the boar moves at least 20 feet straight toward a target and then hits it with a tusk attack on the same turn, the target takes an extra 3 ( 1d6 ) slashing damage. If the target is a creature, it must succeed on a DC11 Strength saving throw or be knocked prone . Relentless (Recharges after a Short or Long Rest): If the boar takes 7 damage or less that would reduce it to 0 hit points, it is reduced to 1 hit point instead. Actions Tusk: +3 to hit, reach 5 ft., one target. Inflicts 4 ( 1d6 + 1 ) slashing damage. 4 Giant Owls (3) CR: 1/4 (50 XP) AC: 12 HP: (3d10 + 3) Speed: Walk 5 ft. Fly 60 ft. STR DEX CON INT WIS CHA 13 +2 15 +3 12 +1 8 -1 13 +2 10 Senses: darkvision 120 ft. Alignment: Neutral Languages: Giant Owl, understands Common, Elvish, and Sylvan but can't speak them Flyby: The owl doesn't provoke opportunity attacks when it flies out of an enemy's reach. Keen Hearing and Sight: The owl has advantage on Wisdom ( Perception ) checks that rely on hearing or sight. Actions Talons: +3 to hit, reach 5 ft., one target. Inflicts 8 ( 2d6 + 1 ) slashing damage. Regional Weather 2d6 Dry Season Wet Season † 2 Thunderstorms Thunderstorms 3-4 Stormy Stormy 5-9 Rainy Rainy 10-11 Cloudy Foggy 12 Clear Cloudy † There's a 1-in-6 chance once a week for a flood"
Q23GlOdX,E1,Fearless Wilds,The Lands of Vo'il,Bridge,"> The Lands of Vo'il > Fearless Wilds > Hex E1 Your path is blocked by a large pool of quicksand. The remains of a rope hang limply from a tree branch overhead. There’s a half-broken stone bridge where the jungle meets a tall mountain. The bridge is guarded by thieving Thugs CR: 1/2 (100 XP) AC: 11 (leather armor) HP: (5d8 + 10) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 15 +3 11 +1 14 +2 10 10 11 +1 Alignment: Lawful Neutral Chaotic Neutral Evil Languages: any one language (usually Common) Pack Tactics: The thug has advantage on an attack roll against a creature if at least one of the thug's allies is within 5 feet of the creature and the ally isn't incapacitated . Actions Multiattack: The thug makes two melee attacks. Mace: +4 to hit, reach 5 ft., one creature. Inflicts 5 ( 1d6 + 2 ) bludgeoning damage. Heavy Crossbow: +2 to hit, range 100/400 ft., one target. Inflicts 5 ( 1d10 ) piercing damage. Lair hoard (if found through tracking, deception or any other reasonable way): 235 gp in coins 300 gp worth of gemstones (50gp each): Bloodstone , Chalcedony , Chrysoprase , 2 × Citrine , Quartz Magic Items: Decanter of endless water, Elixir of health, Eyes of minute seeing, Potion of clairvoyance Random encounter There's a 1 in 6 chance when exploring (or 2 in 6 chance if camping overnight) to be ambushed or preyed upon by: 1d4 Encounter Stats 1 Mastiffs (2) CR: 1/8 (25 XP) AC: 12 HP: (1d8 + 1) Speed: Walk 40 ft. STR DEX CON INT WIS CHA 13 +2 14 +2 12 +1 3 -4 12 +1 7 -2 Keen Hearing and Smell: The mastiff has advantage on Wisdom ( Perception ) checks that rely on hearing or smell. Actions Bite: +3 to hit, reach 5 ft., one target. Inflicts 4 ( 1d6 + 1 ) piercing damage. If the target is a creature, it must succeed on a DC11 Strength saving throw or be knocked prone . 2 Deer CR: 0 (10 XP) AC: 13 HP: (1d8) Speed: Walk 50 ft. STR DEX CON INT WIS CHA 11 +1 16 +3 11 +1 2 -4 14 +2 5 -3 Actions Bite: +2 to hit, reach 5 ft., one target. Inflicts 2 ( 1d4 ) piercing damage. 3 Wolves (2) CR: 1/4 (50 XP) AC: 13 (natural armor) HP: (2d8 + 2) Speed: Walk 40 ft. STR DEX CON INT WIS CHA 12 +1 15 +3 12 +1 3 -4 12 +1 6 -2 Keen Hearing and Smell: The wolf has advantage on Wisdom ( Perception ) checks that rely on hearing or smell. Pack Tactics: The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 feet of the creature and the ally isn't incapacitated . Actions Bite: +4 to hit, reach 5 ft., one target. Inflicts 7 ( 2d4 + 2 ) piercing damage. If the target is a creature, it must succeed on a DC11 Strength saving throw or be knocked prone . 4 Satyrs (4) CR: 1/2 (100 XP) AC: 14 (leather armor) HP: (7d8) Speed: Walk 40 ft. STR DEX CON INT WIS CHA 12 +1 16 +3 11 +1 12 +1 10 14 +2 Alignment: Chaotic Neutral Languages: Common, Elvish, Sylvan Magic Resistance: The satyr has advantage on saving throws against spells and other magical effects. Actions Ram: +3 to hit, reach 5 ft., one target. Inflicts 6 ( 2d4 + 1 ) bludgeoning damage. Shortsword: +5 to hit, reach 5 ft., one target. Inflicts 6 ( 1d6 + 3 ) piercing damage. Shortbow: +5 to hit, range 80/320 ft., one target. Inflicts 6 ( 1d6 + 3 ) piercing damage. Regional Weather 2d6 Dry Season Wet Season † 2 Thunderstorms Thunderstorms 3-4 Stormy Stormy 5-9 Rainy Rainy 10-11 Cloudy Foggy 12 Clear Cloudy † There's a 1-in-6 chance once a week for a flood"
wBhyTqiq,E1N2,Fearless Wilds,The Lands of Vo'il,Dead Troll Remains,"> The Lands of Vo'il > Fearless Wilds > Hex E1N2 Colourful plants and mushrooms grow within the undergrowth here - almost densely enough to hide the bones of an alien creature. The chopped head of a Troll was left to rot near a water stream. Random encounter There's a 1 in 6 chance when exploring (or 2 in 6 chance if camping overnight) to be ambushed or preyed upon by: 1d4 Encounter Stats 1 Satyrs (2) CR: 1/2 (100 XP) AC: 14 (leather armor) HP: (7d8) Speed: Walk 40 ft. STR DEX CON INT WIS CHA 12 +1 16 +3 11 +1 12 +1 10 14 +2 Alignment: Chaotic Neutral Languages: Common, Elvish, Sylvan Magic Resistance: The satyr has advantage on saving throws against spells and other magical effects. Actions Ram: +3 to hit, reach 5 ft., one target. Inflicts 6 ( 2d4 + 1 ) bludgeoning damage. Shortsword: +5 to hit, reach 5 ft., one target. Inflicts 6 ( 1d6 + 3 ) piercing damage. Shortbow: +5 to hit, range 80/320 ft., one target. Inflicts 6 ( 1d6 + 3 ) piercing damage. 2 Swarm of Ravens CR: 1/4 (50 XP) AC: 12 HP: (7d8 - 7) Speed: Walk 10 ft. Fly 50 ft. STR DEX CON INT WIS CHA 6 -2 14 +2 8 -1 3 -4 12 +1 6 -2 Swarm: The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny raven. The swarm can't regain hit points or gain temporary hit points. Actions Beaks: +4 to hit, reach 5 ft., one target in the swarm's space. Inflicts 7 ( 2d6 ) piercing damage, or 3 ( 1d6 ) piercing damage if the swarm has half of its hit points or fewer. 3 Sprites (5) CR: 1/4 (50 XP) AC: 15 (leather armor) HP: (1d4) Speed: Walk 10 ft. Fly 40 ft. STR DEX CON INT WIS CHA 3 -4 18 +4 10 14 +2 13 +2 11 +1 Alignment: Neutral Good Languages: Common, Elvish, Sylvan Actions Longsword: +2 to hit, reach 5 ft., one target. Inflicts 1 slashing damage. Shortbow: +6 to hit, range 40/160 ft., one target. Inflicts 1 piercing damage, and the target must succeed on a DC10 Constitution saving throw or become poisoned for 1 minute. If its saving throw result is 5 or lower, the poisoned target falls unconscious for the same duration, or until it takes damage or another creature takes an action to shake it awake. Heart Sight: The sprite touches a creature and magically knows the creature's current emotional state. If the target fails a DC10 Charisma saving throw, the sprite also knows the creature's alignment. Celestials, fiends, and undead automatically fail the saving throw. Invisibility: The sprite magically turns invisible until it attacks or casts a spell, or until its TAG:status ends (as if TAG:status on a spell). Any equipment the sprite wears or carries is invisible with it. 4 Black Bears (4) CR: 1/2 (100 XP) AC: 11 (natural armor) HP: (3d8 + 6) Speed: Walk 40 ft. Climb 30 ft. STR DEX CON INT WIS CHA 15 +3 10 14 +2 2 -4 12 +1 7 -2 Keen Smell: The bear has advantage on Wisdom ( Perception ) checks that rely on smell. Actions Multiattack: The bear makes two attacks: one with its bite and one with its claws. Bite: +4 to hit, reach 5 ft., one target. Inflicts 5 ( 1d6 + 2 ) piercing damage. Claws: +4 to hit, reach 5 ft., one target. Inflicts 7 ( 2d4 + 2 ) slashing damage. Regional Weather 2d6 Dry Season Wet Season † 2 Thunderstorms Thunderstorms 3-4 Stormy Stormy 5-9 Rainy Rainy 10-11 Cloudy Foggy 12 Clear Cloudy † There's a 1-in-6 chance once a week for a flood"
rBMNbTzV,N3,Fearless Wilds,The Lands of Vo'il,Watchtower,"> The Lands of Vo'il > Fearless Wilds > Hex N3 A small pond sits between the jungle trees here. At night, countless mysterious forms glow an eerie purple light deep in the water. There's a recently built but seemingly unstaffed watchtower deep in the jungle. Random encounter There's a 1 in 6 chance when exploring (or 2 in 6 chance if camping overnight) to be ambushed or preyed upon by: 1d4 Encounter Stats 1 Black Bear CR: 1/2 (100 XP) AC: 11 (natural armor) HP: (3d8 + 6) Speed: Walk 40 ft. Climb 30 ft. STR DEX CON INT WIS CHA 15 +3 10 14 +2 2 -4 12 +1 7 -2 Keen Smell: The bear has advantage on Wisdom ( Perception ) checks that rely on smell. Actions Multiattack: The bear makes two attacks: one with its bite and one with its claws. Bite: +4 to hit, reach 5 ft., one target. Inflicts 5 ( 1d6 + 2 ) piercing damage. Claws: +4 to hit, reach 5 ft., one target. Inflicts 7 ( 2d4 + 2 ) slashing damage. 2 Giant Rats (2) CR: 1/8 (25 XP) AC: 12 HP: (2d6) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 7 -2 15 +3 11 +1 2 -4 10 4 -3 Senses: darkvision 60 ft. Keen Smell: The rat has advantage on Wisdom ( Perception ) checks that rely on smell. Pack Tactics: The rat has advantage on an attack roll against a creature if at least one of the rat's allies is within 5 feet of the creature and the ally isn't incapacitated . Actions Bite: +4 to hit, reach 5 ft., one target. Inflicts 4 ( 1d4 + 2 ) piercing damage. 3 Constrictor Snakes (7) CR: 1/4 (50 XP) AC: 12 HP: (2d10 + 2) Speed: Walk 30 ft. Swim 30 ft. STR DEX CON INT WIS CHA 15 +3 14 +2 12 +1 1 -5 10 3 -4 Senses: blindsight 10 ft. Actions Bite: +4 to hit, reach 5 ft., one creature. Inflicts 5 ( 1d6 + 2 ) piercing damage. Constrict: +4 to hit, reach 5 ft., one creature. Inflicts 6 ( 1d8 + 2 ) bludgeoning damage, and the target is grappled (escape DC14 ). Until this grapple ends, the creature is restrained , and the snake can't constrict another target. 4 Constrictor Snakes (5) CR: 1/4 (50 XP) AC: 12 HP: (2d10 + 2) Speed: Walk 30 ft. Swim 30 ft. STR DEX CON INT WIS CHA 15 +3 14 +2 12 +1 1 -5 10 3 -4 Senses: blindsight 10 ft. Actions Bite: +4 to hit, reach 5 ft., one creature. Inflicts 5 ( 1d6 + 2 ) piercing damage. Constrict: +4 to hit, reach 5 ft., one creature. Inflicts 6 ( 1d8 + 2 ) bludgeoning damage, and the target is grappled (escape DC14 ). Until this grapple ends, the creature is restrained , and the snake can't constrict another target. Regional Weather 2d6 Dry Season Wet Season † 2 Thunderstorms Thunderstorms 3-4 Stormy Stormy 5-9 Rainy Rainy 10-11 Cloudy Foggy 12 Clear Cloudy † There's a 1-in-6 chance once a week for a flood"
u8r65nbQ,N2,Fearless Wilds,The Lands of Vo'il,Gnolls (7) chasing a Rogue,"> The Lands of Vo'il > Fearless Wilds > Hex N2 This part of the jungle has a very dense undergrowth of bushes and vines. A sword or a machete is likely needed to carve the way forward. A band of Gnolls (7) are chasing someone deep in the jungle.  They are in pursuit of Leudo the Rogue – and they are almost upon him. The creatures holler triumphantly as they close in for the kill. Leudo Bernhilde , a level 1 Dwarf Rogue.  He has tired looking eyes, a heavy white beard and a golden tooth ( Arrogant ). In the pocket: dice and 5 sp . Level: 1 Proficiency: +2 AC: 12 (Leather, Wooden shield) HP: 8 Speed: 25 STR DEX CON INT WIS CHA 15 +2 11 +0 10 +0 14 +2 15 +2 14 +2 Saving Throws: Dexterity +2 , Intelligence +4 Skills: Deception +6 , Insight +4 , Perception +4 , Sleight of Hand +2 Senses: Darkvision 60 ft. Alignment: Chaotic Evil Languages: Common, Dwarvish Dwarf: Darkvision, Dwarven Resilience, Dwarven Combat Training, Tool Proficiency, Stonecunning Tools: Thieves' tools +4 Actions Scimitar +2 to hit  one target. Inflicts 1d6+2 slashing damage. Additional 1d6 damage when attacking with an advantage (Sneak attack). If rescued, Leudo will reveal a secret . Gnolls (7) CR: 1/2 (100 XP) AC: 15 (hide armor,shield) HP: (5d8) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 14 +2 12 +1 11 +1 6 -2 10 7 -2 Senses: darkvision 60 ft. Alignment: Chaotic Evil Languages: Gnoll Rampage: When the gnoll reduces a creature to 0 hit points with a melee attack on its turn, the gnoll can take a bonus action to move up to half its speed and make a bite attack. Actions Bite: +4 to hit, reach 5 ft., one creature. Inflicts 4 ( 1d4 + 2 ) piercing damage. Spear: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Inflicts 5 ( 1d6 + 2 ) piercing damage, or 6 ( 1d8 + 2 ) piercing damage if used with two hands to make a melee attack. Longbow: +3 to hit, range 150/600 ft., one target. Inflicts 5 ( 1d8 + 1 ) piercing damage. Regional Weather 2d6 Dry Season Wet Season † 2 Thunderstorms Thunderstorms 3-4 Stormy Stormy 5-9 Rainy Rainy 10-11 Cloudy Foggy 12 Clear Cloudy † There's a 1-in-6 chance once a week for a flood"
Cyw6XrnL,W1N1,Fearless Wilds,The Lands of Vo'il,Village of Harad,"> The Lands of Vo'il > Fearless Wilds > Hex W1N1 A huge, lush tree is standing in a clearing here, covered with colourful flowers and holding a sweet berry inside. Birds fly cheerfully around it. The bustling Village of Harad rests peacefully where the jungle meets a tall mountain. Regional Weather 2d6 Dry Season Wet Season † 2 Thunderstorms Thunderstorms 3-4 Stormy Stormy 5-9 Rainy Rainy 10-11 Cloudy Foggy 12 Clear Cloudy † There's a 1-in-6 chance once a week for a flood"
gh43EJ2n,W1S1,Fearless Wilds,The Lands of Vo'il,Watchtower,"> The Lands of Vo'il > Fearless Wilds > Hex W1S1 A huge, lush tree is standing in a clearing here, covered with colourful flowers and holding a sweet berry inside. Birds fly cheerfully around it. There’s an old abandoned watchtower next to a clearing. Random encounter There's a 1 in 6 chance when exploring (or 2 in 6 chance if camping overnight) to be ambushed or preyed upon by: 1d4 Encounter Stats 1 Giant Owls (4) CR: 1/4 (50 XP) AC: 12 HP: (3d10 + 3) Speed: Walk 5 ft. Fly 60 ft. STR DEX CON INT WIS CHA 13 +2 15 +3 12 +1 8 -1 13 +2 10 Senses: darkvision 120 ft. Alignment: Neutral Languages: Giant Owl, understands Common, Elvish, and Sylvan but can't speak them Flyby: The owl doesn't provoke opportunity attacks when it flies out of an enemy's reach. Keen Hearing and Sight: The owl has advantage on Wisdom ( Perception ) checks that rely on hearing or sight. Actions Talons: +3 to hit, reach 5 ft., one target. Inflicts 8 ( 2d6 + 1 ) slashing damage. 2 Mastiffs (2) CR: 1/8 (25 XP) AC: 12 HP: (1d8 + 1) Speed: Walk 40 ft. STR DEX CON INT WIS CHA 13 +2 14 +2 12 +1 3 -4 12 +1 7 -2 Keen Hearing and Smell: The mastiff has advantage on Wisdom ( Perception ) checks that rely on hearing or smell. Actions Bite: +3 to hit, reach 5 ft., one target. Inflicts 4 ( 1d6 + 1 ) piercing damage. If the target is a creature, it must succeed on a DC11 Strength saving throw or be knocked prone . 3 Hobgoblins (8) CR: 1/2 (100 XP) AC: 18 (chain mail,shield) HP: (2d8 + 2) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 13 +2 12 +1 12 +1 10 10 9 -1 Senses: darkvision 60 ft. Alignment: Lawful Evil Languages: Common, Goblin Martial Advantage: Once per turn, the hobgoblin can deal an extra 7 ( 2d6 ) damage to a creature it hits with a weapon attack if that creature is within 5 feet of an ally of the hobgoblin that isn't incapacitated . Actions Longsword: +3 to hit, reach 5 ft., one target. Inflicts 5 ( 1d8 + 1 ) slashing damage, or 6 ( 1d10 + 1 ) slashing damage if used with two hands. Longbow: +3 to hit, range 150/600 ft., one target. Inflicts 5 ( 1d8 + 1 ) piercing damage. 4 Cats (3) CR: 0 (10 XP) AC: 12 HP: (1d4) Speed: Walk 40 ft. Climb 30 ft. STR DEX CON INT WIS CHA 3 -4 15 +3 10 3 -4 12 +1 7 -2 Keen Smell: The cat has advantage on Wisdom ( Perception ) checks that rely on smell. Actions Claws: +0 to hit, reach 5 ft., one target. Inflicts 1 slashing damage. Regional Weather 2d6 Dry Season Wet Season † 2 Thunderstorms Thunderstorms 3-4 Stormy Stormy 5-9 Rainy Rainy 10-11 Cloudy Foggy 12 Clear Cloudy † There's a 1-in-6 chance once a week for a flood"
4pty7JCA,S2,Fearless Wilds,The Lands of Vo'il,Signaling Tower,"> The Lands of Vo'il > Fearless Wilds > Hex S2 An oversized statue of an angry demon holding a sword against the ground stands proudly in a clearing here. Fresh flowers were recently placed near its base. There’s a wood-made signaling tower near a water stream.  Finding the tower will eliminate any risk of getting lost in this region. Random encounter There's a 1 in 6 chance when exploring (or 2 in 6 chance if camping overnight) to be ambushed or preyed upon by: 1d4 Encounter Stats 1 Giant Rats (3) CR: 1/8 (25 XP) AC: 12 HP: (2d6) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 7 -2 15 +3 11 +1 2 -4 10 4 -3 Senses: darkvision 60 ft. Keen Smell: The rat has advantage on Wisdom ( Perception ) checks that rely on smell. Pack Tactics: The rat has advantage on an attack roll against a creature if at least one of the rat's allies is within 5 feet of the creature and the ally isn't incapacitated . Actions Bite: +4 to hit, reach 5 ft., one target. Inflicts 4 ( 1d4 + 2 ) piercing damage. 2 Swarm of Ravens CR: 1/4 (50 XP) AC: 12 HP: (7d8 - 7) Speed: Walk 10 ft. Fly 50 ft. STR DEX CON INT WIS CHA 6 -2 14 +2 8 -1 3 -4 12 +1 6 -2 Swarm: The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny raven. The swarm can't regain hit points or gain temporary hit points. Actions Beaks: +4 to hit, reach 5 ft., one target in the swarm's space. Inflicts 7 ( 2d6 ) piercing damage, or 3 ( 1d6 ) piercing damage if the swarm has half of its hit points or fewer. 3 Giant Badgers (3) CR: 1/4 (50 XP) AC: 10 HP: (2d8 + 4) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 13 +2 10 15 +3 2 -4 12 +1 5 -3 Senses: darkvision 30 ft. Keen Smell: The badger has advantage on Wisdom ( Perception ) checks that rely on smell. Actions Multiattack: The badger makes two attacks: one with its bite and one with its claws. Bite: +3 to hit, reach 5 ft., one target. Inflicts 4 ( 1d6 + 1 ) piercing damage. Claws: +3 to hit, reach 5 ft., one target. Inflicts 6 ( 2d4 + 1 ) slashing damage. 4 Gnolls (9) CR: 1/2 (100 XP) AC: 15 (hide armor,shield) HP: (5d8) Speed: Walk 30 ft. STR DEX CON INT WIS CHA 14 +2 12 +1 11 +1 6 -2 10 7 -2 Senses: darkvision 60 ft. Alignment: Chaotic Evil Languages: Gnoll Rampage: When the gnoll reduces a creature to 0 hit points with a melee attack on its turn, the gnoll can take a bonus action to move up to half its speed and make a bite attack. Actions Bite: +4 to hit, reach 5 ft., one creature. Inflicts 4 ( 1d4 + 2 ) piercing damage. Spear: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Inflicts 5 ( 1d6 + 2 ) piercing damage, or 6 ( 1d8 + 2 ) piercing damage if used with two hands to make a melee attack. Longbow: +3 to hit, range 150/600 ft., one target. Inflicts 5 ( 1d8 + 1 ) piercing damage. Regional Weather 2d6 Dry Season Wet Season † 2 Thunderstorms Thunderstorms 3-4 Stormy Stormy 5-9 Rainy Rainy 10-11 Cloudy Foggy 12 Clear Cloudy † There's a 1-in-6 chance once a week for a flood"
